id,output,real
0,"To mitigate the vulnerability in the `repayAccountPrimeDebtAtSettlement()` function, we need to ensure that the calculation of the `primeCashRefund` is performed correctly. The issue arises from the incorrect use of the `netPrimeDebtChange` variable, which is set to `accountPrimeStorageValue` instead of the intended `netPrimeDebtRepaid` value. \n\nHere’s how to fix the vulnerability:\n\n1. **Correct the Calculation of `primeCashRefund`:** Ensure that the calculation of `primeCashRefund` uses the correct variable that reflects the actual net debt that has been repaid. This means using `netPrimeDebtRepaid` instead of `netPrimeDebtChange` when calculating the refund.\n\n2. **Review the Logic:** Ensure that the logic surrounding the debt repayment and refunding process is sound. This includes verifying that the conditions under which the refund is calculated are appropriate and that the values being used are accurate.\n\nHere’s a modified version of the relevant part of the code:\n\n```solidity\nfunction repayAccountPrimeDebtAtSettlement(\n    PrimeRate memory pr,\n    VaultStateStorage storage primeVaultState,\n    uint16 currencyId,\n    address vault,\n    address account,\n    int256 accountPrimeCash,\n    int256 account","To prevent the loss of residual cash when settling a Vault Account, the `repayAccountPrimeDebtAtSettlement()` function should accurately calculate the `primeCashRefund` value. This can be achieved by correcting the calculation of `primeCashRefund` to `pr.convertDebtStorageToUnderlying(netPrimeDebtRepaid.sub(accountPrimeStorageValue))`. This change ensures that the residual amount is correctly calculated and refunded to the user.\n\nTo implement this mitigation, the code should be modified to replace the incorrect calculation `netPrimeDebtChange.sub(accountPrimeStorageValue)` with the correct calculation `netPrimeDebtRepaid.sub(accountPrimeStorageValue)`. This change will ensure that the `primeCashRefund` value is accurately calculated and the residual cash is correctly refunded to the user.\n\nIn addition to correcting the calculation, it is also recommended to add input validation and error handling to ensure that the function behaves correctly in all scenarios. This may include checking for invalid input values, handling exceptions, and logging errors to facilitate debugging and troubleshooting.\n\nBy implementing this mitigation, the `repayAccountPrimeDebtAtSettlement()` function will accurately calculate the `primeCashRefund` value and prevent the loss of residual cash when settling a Vault Account."
1,"To mitigate the vulnerability described, several strategies can be employed to prevent an attacker from exploiting the predictability of the timestamp when the pool switches to the `Late` state. Here are some potential solutions:\n\n1. **Randomized Delay**: Introduce a randomized delay before the state transition occurs. This would make it difficult for an attacker to predict the exact moment when the state changes. For example, you could implement a mechanism that adds a random time interval (within a defined range) before executing the state transition.\n\n2. **State Transition Control**: Restrict the ability to call the `assessState` function to only certain trusted addresses or require a multi-signature approval for state transitions. This would prevent unauthorized users from triggering the state change and exploiting the timing.\n\n3. **Snapshot Timing**: Instead of taking a snapshot at a predictable timestamp, consider using a more dynamic approach to determine when to take snapshots. For example, you could take snapshots based on certain conditions or events rather than a fixed timestamp.\n\n4. **Flash Loan Restrictions**: Implement checks to limit the use of flash loans in the context of claiming locked capital. For instance, you could require that the sTokens be held for a minimum duration before they can be used to claim locked capital, thus","To prevent an attacker from exploiting the `lockCapital` mechanism by manipulating the pool's state, we recommend implementing a more comprehensive security measure. Instead of making `assessState` callable by a trusted user, we suggest implementing a multi-step verification process to ensure the integrity of the pool's state transitions.\n\nHere's a step-by-step mitigation plan:\n\n1. **Implement a permissioned access control mechanism**: Restrict access to the `assessState` function to only authorized users or entities that have been explicitly granted permission to do so. This can be achieved by implementing a role-based access control system, where only designated users or roles are allowed to call the `assessState` function.\n\n2. **Introduce a delay mechanism**: Introduce a delay between the pool's state transition from `Active` to `Late` and the actual execution of the `lockCapital` function. This delay should be sufficient to prevent an attacker from using a flash loan to manipulate the pool's state. The delay can be implemented using a timer or a separate mechanism that ensures a minimum time gap between the state transition and the execution of `lockCapital`.\n\n3. **Implement a snapshot validation mechanism**: Validate the snapshot taken by the `ERC20Snapshot` contract to ensure that it is accurate and reflects the actual token balances at the time of the snapshot. This can be achieved by implementing a validation function that checks the snapshot against the actual token balances and ensures that the snapshot is consistent with the pool's state.\n\n4. **Implement a claimable amount calculation mechanism**: Implement a mechanism to calculate the claimable amount for each sToken holder based on their snapshot balance and the total supply at the snapshot. This mechanism should take into account the delay introduced in step 2 and ensure that the claimable amount is calculated accurately.\n\n5. **Monitor and audit the pool's state transitions**: Implement a monitoring and auditing mechanism to track the pool's state transitions and ensure that they are occurring as expected. This can be achieved by implementing a logging mechanism that records each state transition and its corresponding timestamp.\n\nBy implementing these measures, we can significantly reduce the risk of an attacker exploiting the `lockCapital` mechanism and ensure the integrity of the pool's state transitions."
2,"To mitigate the vulnerability described, we need to ensure that the system can handle the number of pending position updates without being overwhelmed, especially for protected position updates. Here are several strategies to address the issue:\n\n1. **Limit the Number of Protected Updates**: Introduce a limit on the number of protected position updates that can be processed in a single transaction. This can be done by adding a check in the `_settle` function to ensure that the number of pending updates does not exceed a certain threshold.\n\n   ```solidity\n   function _settle(Context memory context, address account) private {\n       uint256 maxProtectedUpdates = 10; // Example limit\n       uint256 processedUpdates = 0;\n\n       while (\n           context.global.currentId != context.global.latestId &&\n           (nextPosition = _pendingPosition[context.global.latestId + 1].read()).ready(context.latestVersion)\n       ) {\n           if (processedUpdates >= maxProtectedUpdates) {\n               revert TooManyProtectedUpdatesError(); // Custom error for exceeding limit\n           }\n           _processPositionGlobal(context, context.global.latestId + 1, nextPosition);\n           processedUpdates++;\n       }\n   }\n   ```\n\n2. **Rate Limiting**: Implement rate limiting for the `update","To prevent a denial-of-service (DoS) attack when stuffing the pending protected positions, implement the following measures:\n\n1. **Limit the number of pending protected position updates**: In the `_invariant` function, introduce a limit on the number of pending protected position updates that can be queued. This can be done by tracking the number of pending protected updates and reverting if the limit is exceeded. For example:\n```\nif (protected && _pendingProtectedUpdates >= context.marketParameter.maxPendingProtectedUpdates) {\n    revert MarketExceedsPendingProtectedIdLimitError();\n}\n```\n2. **Limit the number of global pending protected positions that can be settled**: In the `_settle` function, introduce a limit on the number of global pending protected positions that can be settled in a single loop iteration. This can be done by tracking the number of pending protected positions and breaking the loop if the limit is exceeded. For example:\n```\nwhile (\n    context.global.currentId!= context.global.latestId &&\n    (nextPosition = _pendingPosition[context.global.latestId + 1].read()).ready(context.latestVersion) &&\n    _pendingProtectedPositions < context.marketParameter.maxPendingProtectedPositions\n) _processPositionGlobal(context, context.global.latestId + 1, nextPosition);\n```\nBy implementing these measures, you can prevent a DoS attack by limiting the number of pending protected position updates and settlements, thereby ensuring the protocol's stability and security."
4,"To mitigate the vulnerability described, we need to ensure that the in-memory cached copy of the account's local storage is updated to reflect any changes made to `local.claimable` during the settlement process before it is stored back to the contract's storage. Here are the steps to fix the issue:\n\n1. **Update the Cached Copy**: After the `_settle` function is called, we need to ensure that the cached copy of the local storage (`newLocal`) is updated with the new value of `local.claimable` before calling `_storeContext`.\n\n2. **Modify the `_settle` Function**: Ensure that the `_settle` function returns the updated `local.claimable` value or modifies the `newLocal` directly.\n\n3. **Store the Updated Local Context**: Before calling `_storeContext`, we should ensure that the `newLocal` variable reflects the updated state of the local storage.\n\nHere’s how you can implement these changes in the code:\n\n```solidity\nfunction settle(address account) external nonReentrant whenNotPaused {\n    Context memory context = _loadContext(account);\n    \n    // Call _settle and ensure it updates the local context\n    _settle(context, account);\n    \n    // Update the cached local storage to","To prevent the loss of liquidator and referral fees when the account is its own liquidator or referral, we need to ensure that the `context.local.claimable` storage is updated correctly during the settlement process. This can be achieved by modifying the `Market._credit` function to increase `context.local.claimable` if the account to be credited matches the account being updated.\n\nHere's the modified `Market._credit` function:\n```\nfunction _credit(address account, UFixed6 amount) private {\n    if (amount.isZero()) return;\n\n    Local memory newLocal = _locals[account].read();\n    newLocal.claimable += amount; // Update claimable amount\n    _locals[account].store(newLocal);\n}\n```\n\nBy making this change, we ensure that the `context.local.claimable` storage is updated correctly during the settlement process, even when the account is its own liquidator or referral. This prevents the loss of liquidator and referral fees in these scenarios.\n\nAdditionally, we should also update the `_storeContext` function to store the updated `context.local.claimable` value:\n```\nfunction _storeContext(Context memory context, address account) private {\n    // state\n    _global.store(context.global);\n    _locals[account].store(context.local);\n    // Update claimable amount in local storage\n    _locals[account].read().claimable = context.local.claimable;\n}\n```\n\nBy making these changes, we can ensure that the `context.local.claimable` storage is updated correctly during the settlement process, and liquidator and referral fees are not lost when the account is its own liquidator or referral."
5,"To mitigate the vulnerability described, we need to ensure that the unlocking of tokens is based on the passage of time (i.e., after three months) rather than the amount of tokens that have been undelegated. The current logic incorrectly ties the unlocking of tokens to the amount of tokens delegated, which can lead to unexpected behavior.\n\nHere’s how to fix the vulnerability:\n\n1. **Introduce a Time Check**: Add a timestamp to track when the delegation period started. This will allow you to check if three months have passed since the delegation began.\n\n2. **Modify the Unlocking Logic**: Change the condition that triggers the unlocking of tokens to check if the three-month period has elapsed, regardless of the amount of tokens that have been undelegated.\n\nHere’s a revised version of the code snippet that incorporates these changes:\n\n```solidity\n// Assuming you have a mapping to track the delegation start time\nmapping(uint256 => uint256) public delegationStartTime;\n\nif (_isPurchased[delegationId]) {\n    address holder = delegation.holder;\n    _totalDelegated[holder] += delegation.amount;\n\n    // Check if three months have passed since the delegation started\n    if (block.timestamp >= delegationStartTime[delegationId] + 90 days","To address the vulnerability, implement a robust lock mechanism that ensures tokens are unlocked only when the specified condition is met. Specifically, when at least 50% of tokens, that were bought on the initial launch, are undelegated.\n\nHere's a comprehensive mitigation strategy:\n\n1. **Track undelegated tokens**: Maintain a separate data structure, such as a mapping (`_undelegatedTokens`), to keep track of the number of undelegated tokens for each holder. This will allow you to accurately monitor the percentage of undelegated tokens.\n\n2. **Calculate undelegated token percentage**: Implement a function to calculate the percentage of undelegated tokens for each holder. This function should take into account the total number of tokens purchased by each holder and the number of undelegated tokens.\n\n3. **Implement lock mechanism**: Modify the existing code to check the percentage of undelegated tokens for each holder. If the percentage meets the specified threshold (50% in this case), unlock the tokens.\n\nHere's a sample code snippet to illustrate this:\n```\nif (_undelegatedTokens[holder] >= (_purchased[holder] * 0.5)) {\n    purchasedToUnlocked(holder);\n}\n```\n\n4. **Monitor and update undelegated tokens**: Regularly update the `_undelegatedTokens` mapping to reflect changes in token delegation. This can be done by iterating through the delegation records and updating the undelegated token count for each holder.\n\n5. **Implement a timer or event listener**: To ensure that the lock mechanism is triggered only after the specified time period (3 months in this case), implement a timer or event listener that checks the percentage of undelegated tokens at regular intervals. When the threshold is met, trigger the `purchasedToUnlocked` function to unlock the tokens.\n\nBy implementing this comprehensive mitigation strategy, you can ensure that tokens are unlocked only when the specified condition is met, thereby addressing the vulnerability."
7,"To mitigate the vulnerability described, we need to ensure that the lender's identity is correctly maintained and that the assets are sent to the correct lender even after the lender manager address is updated. Here are some strategies to fix the vulnerability:\n\n### 1. **Decouple Lender from Lender Manager:**\nInstead of directly linking the `bid.lender` to the `lenderManager`, we should store the actual lender's address in the `Bid` struct. This way, even if the lender manager is updated, the original lender's address remains intact.\n\n```solidity\nstruct Bid {\n    address lender; // Store the actual lender's address\n    // other properties...\n}\n```\n\n### 2. **Update `claimLoanNFT` Function:**\nModify the `claimLoanNFT` function to ensure that it does not change the `bid.lender` to the lender manager's address. Instead, it should keep the lender's address intact.\n\n```solidity\nfunction claimLoanNFT(uint256 _bidId)\n    external\n    acceptedLoan(_bidId, ""claimLoanNFT"")\n    whenNotPaused\n{\n    Bid storage bid = bids[_bidId];\n\n    address sender = _msgSenderForMarket(bid.marketplaceId);\n    require(sender ==","To mitigate the vulnerability, we can introduce a new variable `lenderAddress` in the `Bid` struct to store the lender's address. This variable should be updated whenever the lender changes. We can then use this variable in the `getLoanLender` function to determine the lender's address.\n\nHere's the updated code:\n```\nstruct Bid {\n    //... other fields...\n    address lenderAddress; // New field to store the lender's address\n    //... other fields...\n}\n\nfunction claimLoanNFT(uint256 _bidId)\n    external\n    acceptedLoan(_bidId, ""claimLoanNFT"")\n    whenNotPaused\n{\n    // Retrieve bid\n    Bid storage bid = bids[_bidId];\n\n    address sender = _msgSenderForMarket(bid.marketplaceId);\n    require(sender == bid.lender, ""only lender can claim NFT"");\n    // mint an NFT with the lender manager\n    lenderManager.registerLoan(_bidId, sender);\n    // Update the lenderAddress\n    bid.lenderAddress = sender;\n}\n\nfunction getLoanLender(uint256 _bidId)\n    public\n    view\n    returns (address lender_)\n{\n    lender_ = bids[_bidId].lenderAddress;\n    // No need to check if lender_ is the current lenderManager\n    return lender_;\n}\n```\nBy using the `lenderAddress` variable, we can ensure that the lender's address is correctly updated whenever the lender changes, and we can retrieve the lender's address in the `getLoanLender` function without relying on the `lenderManager` address.\n\nNote that we removed the `MAGIC_NUMBER` variable and the conditional checks in the `claimLoanNFT` and `getLoanLender` functions. The `lenderAddress` variable provides a more robust and maintainable solution to the vulnerability."
8,"To mitigate the vulnerability described, you can implement a safer approach to handling token allowances in the ERC20 contract. The key is to avoid the race condition that allows a malicious actor to front-run the allowance modification. Here are some strategies to fix the vulnerability:\n\n### 1. **Use a Two-Step Approval Process:**\nInstead of allowing direct changes to the allowance, implement a two-step approval process. This involves requiring the spender to first request an allowance and then confirm it. This way, the spender cannot exploit the allowance before the approval is finalized.\n\n### 2. **Set Allowance to Zero Before Changing:**\nBefore changing the allowance, set it to zero. This ensures that any pending transactions cannot exploit the previous allowance. The steps would be:\n- Set the allowance to zero.\n- Set the new allowance.\n\nHere’s an example of how you might implement this:\n\n```solidity\nfunction decreaseAllowance(address spender, uint256 subtractedValue) public returns (bool) {\n    require(spender != address(0), ""ERC20: approve to the zero address"");\n    \n    uint256 currentAllowance = allowance(msg.sender, spender);\n    require(currentAllowance >= subtractedValue, ""Silo: decreased allowance below zero"");\n    \n    // Set allowance to zero first\n","To mitigate the vulnerability, it is essential to ensure that the `decreaseTokenAllowance` and `decrementAllowancePods` functions are designed to handle the race condition and prevent front-running attacks. Here's a comprehensive mitigation strategy:\n\n1. **Implement a check for allowance decrease**: Before updating the allowance, check if the intended subtracted value exceeds the current allowance. If it does, set the allowance to zero immediately, ensuring that the spender cannot spend more than the intended amount.\n\n2. **Use a transaction lock**: Implement a transaction lock mechanism to prevent other transactions from modifying the allowance while the decrease transaction is being processed. This can be achieved by using a unique identifier for the decrease transaction and checking for its existence before updating the allowance.\n\n3. **Use a two-step process**: Instead of updating the allowance in a single transaction, use a two-step process. First, update the allowance to a temporary value, and then, in a subsequent transaction, set the final allowance to the intended value. This approach ensures that the allowance is not modified until the final transaction is executed.\n\n4. **Use a timeout mechanism**: Implement a timeout mechanism to prevent the decrease transaction from being front-run. If the transaction is not executed within a certain timeframe, consider reverting the allowance update to prevent the spender from spending more than the intended amount.\n\n5. **Monitor and audit transactions**: Implement monitoring and auditing mechanisms to detect and prevent front-running attacks. This can include tracking transaction hashes, monitoring transaction queues, and auditing transaction logs to identify suspicious activity.\n\n6. **Implement a gas limit**: Implement a gas limit for the decrease transaction to prevent it from being front-run. This can be achieved by setting a gas limit that is higher than the gas limit of the spender's transaction, ensuring that the decrease transaction is executed before the spender's transaction.\n\n7. **Use a secure and reliable storage mechanism**: Ensure that the storage mechanism used to store the allowance is secure and reliable. This can include using a secure database, encrypting sensitive data, and implementing regular backups to prevent data loss.\n\nBy implementing these measures, you can effectively mitigate the vulnerability and prevent front-running attacks, ensuring a secure and reliable token allowance management system."
9,"To mitigate the vulnerability described in the `mintRollovers` function, we need to ensure that the function accurately calculates and mints the total amount of shares the user is entitled to, including any winnings from the previous epoch. Here are the steps to fix the issue:\n\n1. **Calculate Total Entitled Shares**: Instead of only considering the original assets requested for rollover, we should calculate the total shares the user is entitled to, which includes their winnings from the previous epoch. This can be done by using the `previewWithdraw` function to determine the total shares based on the user's assets and any additional winnings.\n\n2. **Update the Minting Logic**: Modify the minting logic to mint the total entitled shares instead of just the original assets minus the relayer fee. This ensures that the user receives their full entitlement.\n\n3. **Adjust the Relayer Fee Calculation**: Ensure that the relayer fee is deducted after calculating the total shares to mint, so that the fee does not affect the user's winnings.\n\nHere’s a revised version of the relevant code snippet:\n\n```solidity\nif (epochResolved[queue[index].epochId]) {\n    uint256 entitledShares = previewWithdraw(\n        queue[index].epochId,\n        queue[index].assets\n    );\n\n   ","To address this vulnerability, the `mintRollovers` function should be modified to mint the user's entitled shares, including the winnings from the previous epoch, instead of only minting the original assets. This can be achieved by calculating the total shares the user is entitled to, including the winnings, and minting that amount.\n\nHere's a revised version of the `mintRollovers` function:\n```\nif (epochResolved[queue[index].epochId]) {\n    uint256 entitledShares = previewWithdraw(queue[index].epochId, queue[index].assets);\n    // Mint the total shares the user is entitled to, including the winnings\n    _mintShares(queue[index].receiver, _epochId, entitledShares);\n}\n```\nThis revised function will ensure that the user receives their entitled shares, including the winnings from the previous epoch, when they roll over their assets. This will prevent the user from losing their winnings and will provide a more accurate and fair outcome.\n\nAdditionally, it's recommended to review and update the `enlistInRollover` function to store the total shares the user is entitled to, including the winnings, in the `rolloverQueue`. This will ensure that the correct shares are minted when the user rolls over their assets.\n\nBy implementing this revised `mintRollovers` function and updating the `enlistInRollover` function, the vulnerability will be mitigated, and users will be able to receive their entitled shares, including their winnings, when they roll over their assets."
10,"To mitigate the vulnerability described in the `_decreaseCurrentMinted` function, we need to ensure that the correct account's minted value is being decremented, regardless of whether the function is called by the user directly or by the Vault on behalf of the user. Here are the steps to fix the vulnerability:\n\n1. **Use the Correct Account Address**: Instead of using `msg.sender` to update the `currentMinted` mapping, we should use the `account` parameter that is passed to the function. This ensures that we are always updating the correct user's minted amount.\n\n2. **Check for Underflow**: Although Solidity 0.8.0 and later versions have built-in overflow and underflow checks, it's still a good practice to ensure that the amount being subtracted does not exceed the current minted amount.\n\n3. **Update the Function**: Modify the function to correctly reference the `account` parameter when updating the `currentMinted` mapping.\n\nHere’s the revised code:\n\n```solidity\nfunction _decreaseCurrentMinted(address account, uint256 amount) internal virtual {\n    uint256 accountMinted = currentMinted[account];\n    require(accountMinted >= amount, ""Insufficient minted amount"");\n    currentMinted[account","To address the vulnerability, the `_decreaseCurrentMinted` function should be revised to correctly update the `currentMinted` value when the Vault is acting on behalf of users. Here's a comprehensive mitigation strategy:\n\n1. **Identify the correct account**: Instead of using `accountMinted` (which is `currentMinted[account]`), use `currentMinted[msg.sender]` to determine the correct account's minted tokens.\n2. **Update the `currentMinted` value**: When the Vault is acting on behalf of users, update the `currentMinted` value for the user's account, not the Vault's account. This ensures that the correct account's minted tokens are accurately reflected.\n3. **Handle edge cases**: To address the edge cases mentioned in the original description, consider implementing additional logic to handle situations where `amount > accountMinted`. This could involve setting a minimum value for `currentMinted` or implementing a more sophisticated calculation to determine the correct update value.\n4. **Revisit the function's logic**: As suggested, it's essential to revisit and reevaluate the entire `_decreaseCurrentMinted` function to ensure it accurately reflects the intended behavior. This may involve refactoring the code to better handle different scenarios and edge cases.\n\nBy implementing these measures, you can ensure that the `_decreaseCurrentMinted` function accurately updates the `currentMinted` value when the Vault is acting on behalf of users, preventing potential issues and ensuring the integrity of the system."
11,"To mitigate the vulnerability in the `addExternalErc721Award` function, we need to ensure that the `tokenIds` being added are unique and that they are indeed owned by the `PrizePool` contract. This will prevent issues during the award phase when the `_awardExternalErc721s` function attempts to transfer tokens that may not exist or have already been transferred.\n\nHere are the steps to fix the vulnerability:\n\n1. **Check for Uniqueness of Token IDs**: Before adding the `tokenIds` to the `externalErc721TokenIds` mapping, we should ensure that each `tokenId` is unique. This can be done by using a mapping or a set to track which `tokenIds` have already been added.\n\n2. **Validate Ownership**: Although the current implementation checks ownership of each `tokenId` before adding it, we should ensure that this check is done before any modifications to the state. This will prevent any state changes if an invalid `tokenId` is found.\n\n3. **Use a Temporary Storage**: To avoid modifying the state while checking for duplicates and ownership, we can use a temporary array to store valid `tokenIds` before pushing them to the state.\n\nHere’s how the modified `addExternal","To prevent the vulnerability, implement a comprehensive validation mechanism to ensure that the provided `tokenIds` are unique and owned by the `prizePool`. This can be achieved by modifying the `addExternalErc721Award` function to include the following steps:\n\n1. **Token ID uniqueness check**: Before adding a new `tokenId` to the `externalErc721TokenIds` mapping, check if the `tokenId` already exists in the mapping. If it does, raise an error or skip the addition.\n2. **Token ownership verification**: Verify that the `prizePool` owns the `tokenId` by calling the `IERC721` contract's `ownerOf` function. If the `tokenId` is not owned by the `prizePool`, raise an error or skip the addition.\n\nHere's the modified `addExternalErc721Award` function:\n```solidity\nfunction addExternalErc721Award(address _externalErc721, uint256[] calldata _tokenIds) external onlyOwnerOrListener {\n  //... (other code remains the same)\n\n  for (uint256 i = 0; i < _tokenIds.length; i++) {\n    uint256 tokenId = _tokenIds[i];\n    // Check if the token ID already exists in the mapping\n    if (externalErc721TokenIds[_externalErc721].contains(tokenId)) {\n      // Raise an error if the token ID is duplicate\n      revert(""PeriodicPrizeStrategy/duplicate-token-id"");\n    }\n\n    // Verify that the prizePool owns the token ID\n    if (IERC721(_externalErc721).ownerOf(tokenId)!= address(prizePool)) {\n      // Raise an error if the token ID is not owned by the prizePool\n      revert(""PeriodicPrizeStrategy/unavailable-token"");\n    }\n\n    externalErc721TokenIds[_externalErc721].push(tokenId);\n  }\n\n  //... (other code remains the same)\n}\n```\nBy implementing these checks, you can ensure that the `addExternalErc721Award` function only adds unique and valid `tokenIds` to the `externalErc721TokenIds` mapping, preventing the vulnerability from occurring."
